Sample	FastQC_mqc-generalstats-fastqc-percent_duplicates	FastQC_mqc-generalstats-fastqc-percent_gc	FastQC_mqc-generalstats-fastqc-avg_sequence_length	FastQC_mqc-generalstats-fastqc-percent_fails	FastQC_mqc-generalstats-fastqc-total_sequences
AOJ447_pass_17d80546_8c1c4ab7_0	0.09999999999999432	44.0	2017.656	30.0	1000.0
AOJ447_pass_17d80546_8c1c4ab7_1	0.0	44.0	2070.381	30.0	1000.0
AOJ447_pass_17d80546_8c1c4ab7_10	0.0	44.0	2086.979	30.0	1000.0
AOJ447_pass_17d80546_8c1c4ab7_100	0.2195389681668587	44.0	2077.6531284302964	40.0	911.0
AOJ447_pass_17d80546_8c1c4ab7_11	0.20000000000000284	44.0	2095.544	30.0	1000.0
AOJ447_pass_17d80546_8c1c4ab7_12	0.0	44.0	2097.913	30.0	1000.0
AOJ447_pass_17d80546_8c1c4ab7_13	0.0	44.0	2089.137	30.0	1000.0
AOJ447_pass_17d80546_8c1c4ab7_14	0.20000000000000284	44.0	2124.594	30.0	1000.0
AOJ447_pass_17d80546_8c1c4ab7_15	0.0	44.0	2090.11	30.0	1000.0
AOJ447_pass_17d80546_8c1c4ab7_16	0.29999999999999716	44.0	2073.582	30.0	1000.0
AOJ447_pass_17d80546_8c1c4ab7_17	0.0	44.0	2083.253	30.0	1000.0
AOJ447_pass_17d80546_8c1c4ab7_18	0.09999999999999432	44.0	2076.782	30.0	1000.0
AOJ447_pass_17d80546_8c1c4ab7_19	0.20000000000000284	44.0	2130.521	30.0	1000.0
AOJ447_pass_17d80546_8c1c4ab7_2	0.0	44.0	2090.536	30.0	1000.0
AOJ447_pass_17d80546_8c1c4ab7_20	0.09999999999999432	44.0	2107.915	30.0	1000.0
AOJ447_pass_17d80546_8c1c4ab7_21	0.20000000000000284	44.0	2107.397	30.0	1000.0
AOJ447_pass_17d80546_8c1c4ab7_22	1.2999999999999972	44.0	1906.792	30.0	1000.0
AOJ447_pass_17d80546_8c1c4ab7_23	1.2999999999999972	44.0	1973.366	30.0	1000.0
AOJ447_pass_17d80546_8c1c4ab7_24	0.5	44.0	2054.266	30.0	1000.0
AOJ447_pass_17d80546_8c1c4ab7_25	0.4000000000000057	44.0	2113.174	30.0	1000.0
AOJ447_pass_17d80546_8c1c4ab7_26	0.09999999999999432	44.0	2105.185	30.0	1000.0
AOJ447_pass_17d80546_8c1c4ab7_27	0.0	44.0	2076.167	30.0	1000.0
AOJ447_pass_17d80546_8c1c4ab7_28	0.0	44.0	2097.527	30.0	1000.0
AOJ447_pass_17d80546_8c1c4ab7_29	0.09999999999999432	44.0	2087.557	30.0	1000.0
AOJ447_pass_17d80546_8c1c4ab7_3	0.0	44.0	2080.312	30.0	1000.0
AOJ447_pass_17d80546_8c1c4ab7_30	0.0	44.0	2141.728	30.0	1000.0
AOJ447_pass_17d80546_8c1c4ab7_31	0.5	44.0	2100.135	30.0	1000.0
AOJ447_pass_17d80546_8c1c4ab7_32	0.09999999999999432	44.0	2140.755	30.0	1000.0
AOJ447_pass_17d80546_8c1c4ab7_33	0.20000000000000284	44.0	2080.991	30.0	1000.0
AOJ447_pass_17d80546_8c1c4ab7_34	0.0	44.0	2077.928	30.0	1000.0
AOJ447_pass_17d80546_8c1c4ab7_35	0.09999999999999432	44.0	2048.266	30.0	1000.0
AOJ447_pass_17d80546_8c1c4ab7_36	0.29999999999999716	44.0	2092.191	30.0	1000.0
AOJ447_pass_17d80546_8c1c4ab7_37	0.09999999999999432	44.0	2085.164	30.0	1000.0
AOJ447_pass_17d80546_8c1c4ab7_38	0.4000000000000057	44.0	1974.941	30.0	1000.0
AOJ447_pass_17d80546_8c1c4ab7_39	2.6000000000000085	44.0	1745.493	30.0	1000.0
AOJ447_pass_17d80546_8c1c4ab7_4	0.09999999999999432	44.0	2076.048	30.0	1000.0
AOJ447_pass_17d80546_8c1c4ab7_40	0.29999999999999716	44.0	1995.572	30.0	1000.0
AOJ447_pass_17d80546_8c1c4ab7_41	1.0	44.0	1942.586	30.0	1000.0
AOJ447_pass_17d80546_8c1c4ab7_42	0.4000000000000057	44.0	2019.58	30.0	1000.0
AOJ447_pass_17d80546_8c1c4ab7_43	0.09999999999999432	44.0	2042.8	30.0	1000.0
AOJ447_pass_17d80546_8c1c4ab7_44	0.4000000000000057	44.0	2015.783	30.0	1000.0
AOJ447_pass_17d80546_8c1c4ab7_45	0.0	44.0	2069.737	30.0	1000.0
AOJ447_pass_17d80546_8c1c4ab7_46	0.09999999999999432	44.0	2069.732	30.0	1000.0
AOJ447_pass_17d80546_8c1c4ab7_47	0.20000000000000284	44.0	1995.951	30.0	1000.0
AOJ447_pass_17d80546_8c1c4ab7_48	0.20000000000000284	44.0	2095.599	30.0	1000.0
AOJ447_pass_17d80546_8c1c4ab7_49	0.09999999999999432	44.0	2084.139	30.0	1000.0
AOJ447_pass_17d80546_8c1c4ab7_5	0.09999999999999432	44.0	2073.735	30.0	1000.0
AOJ447_pass_17d80546_8c1c4ab7_50	1.2999999999999972	44.0	1926.969	30.0	1000.0
AOJ447_pass_17d80546_8c1c4ab7_51	0.09999999999999432	44.0	2071.38	30.0	1000.0
AOJ447_pass_17d80546_8c1c4ab7_52	0.0	44.0	2111.314	30.0	1000.0
AOJ447_pass_17d80546_8c1c4ab7_53	0.0	44.0	2083.391	30.0	1000.0
AOJ447_pass_17d80546_8c1c4ab7_54	0.0	44.0	2095.188	30.0	1000.0
AOJ447_pass_17d80546_8c1c4ab7_55	0.20000000000000284	44.0	2094.789	30.0	1000.0
AOJ447_pass_17d80546_8c1c4ab7_56	0.0	44.0	2137.938	30.0	1000.0
AOJ447_pass_17d80546_8c1c4ab7_57	0.0	44.0	2100.13	40.0	1000.0
AOJ447_pass_17d80546_8c1c4ab7_58	0.4000000000000057	44.0	1957.728	30.0	1000.0
AOJ447_pass_17d80546_8c1c4ab7_59	0.0	44.0	2058.368	30.0	1000.0
AOJ447_pass_17d80546_8c1c4ab7_6	0.0	44.0	2133.323	30.0	1000.0
AOJ447_pass_17d80546_8c1c4ab7_60	0.09999999999999432	44.0	2074.315	30.0	1000.0
AOJ447_pass_17d80546_8c1c4ab7_61	0.09999999999999432	44.0	2068.374	30.0	1000.0
AOJ447_pass_17d80546_8c1c4ab7_62	0.0	44.0	2045.588	30.0	1000.0
AOJ447_pass_17d80546_8c1c4ab7_63	0.20000000000000284	44.0	2021.509	30.0	1000.0
AOJ447_pass_17d80546_8c1c4ab7_64	0.29999999999999716	44.0	2017.999	30.0	1000.0
AOJ447_pass_17d80546_8c1c4ab7_65	0.0	44.0	2080.99	30.0	1000.0
AOJ447_pass_17d80546_8c1c4ab7_66	1.0999999999999943	44.0	1932.904	30.0	1000.0
AOJ447_pass_17d80546_8c1c4ab7_67	0.4000000000000057	44.0	2061.762	30.0	1000.0
AOJ447_pass_17d80546_8c1c4ab7_68	0.20000000000000284	44.0	2070.138	30.0	1000.0
AOJ447_pass_17d80546_8c1c4ab7_69	0.09999999999999432	44.0	2111.766	30.0	1000.0
AOJ447_pass_17d80546_8c1c4ab7_7	0.0	44.0	2112.953	30.0	1000.0
AOJ447_pass_17d80546_8c1c4ab7_70	0.09999999999999432	44.0	2108.781	30.0	1000.0
AOJ447_pass_17d80546_8c1c4ab7_71	0.0	44.0	2070.153	30.0	1000.0
AOJ447_pass_17d80546_8c1c4ab7_72	0.0	44.0	2067.929	30.0	1000.0
AOJ447_pass_17d80546_8c1c4ab7_73	0.20000000000000284	44.0	2053.501	30.0	1000.0
AOJ447_pass_17d80546_8c1c4ab7_74	1.0	44.0	1911.0	30.0	1000.0
AOJ447_pass_17d80546_8c1c4ab7_75	0.09999999999999432	44.0	2117.184	30.0	1000.0
AOJ447_pass_17d80546_8c1c4ab7_76	0.29999999999999716	44.0	2145.152	30.0	1000.0
AOJ447_pass_17d80546_8c1c4ab7_77	0.20000000000000284	44.0	2106.56	30.0	1000.0
AOJ447_pass_17d80546_8c1c4ab7_78	0.29999999999999716	44.0	2079.512	30.0	1000.0
AOJ447_pass_17d80546_8c1c4ab7_79	0.09999999999999432	44.0	2111.572	30.0	1000.0
